display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Bank BNI, Jalan Veteran Utara, Lariang Bangi, Makassar, Sulawesi Selatan, 90144, Indonesia",bank,-5.1370343,119.42245672177606,Jalan Veteran Utara,90144,BANK BNI,Indonesia,Sulawesi Selatan,Makassar
"bank BNI, Jalan Godean, Nogotirto, Gamping, Sleman, Daerah Istimewa Yogyakarta, 55293, Indonesia",bank,-7.77850455,110.33721895,Jalan Godean,55293,BANK BNI,Indonesia,Daerah Istimewa Yogyakarta,Sleman
"Bank BNI, Gang Punokawan, Sariharjo, Sleman, Daerah Istimewa Yogyakarta, 55285, Indonesia",bank,-7.73583965,110.37733485,Gang Punokawan,55285,BANK BNI,Indonesia,Daerah Istimewa Yogyakarta,Sleman
"Bank BNI, Jalan Tadulako, RW 01, Bantaya, Parigi Moutong, Sulawesi Tengah, 94471, Indonesia",bank,-0.8075911499999999,120.1731038,Jalan Tadulako,94471,BANK BNI,Indonesia,Sulawesi Tengah,Parigi Moutong
"Bank BNI, Jalan Merdeka, Tanjung Pandan, Belitung, Kepulauan Bangka Belitung, 33412, Indonesia",bank,-2.74048505,107.63397804872646,Jalan Merdeka,33412,BANK BNI,Indonesia,Kepulauan Bangka Belitung,Belitung
"Bank BNI, Jalan Kasuari, RW 15, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, 60175, Indonesia",bank,-7.2358595,112.73652240719952,Jalan Kasuari,60175,BANK BNI,Indonesia,Jawa Timur,Surabaya
"Bank BNI, Jalan Letnan Jenderal Sunandar Priyosudarmo, Purwantoro, Kota Malang, Jawa Timur, 65122, Indonesia",bank,-7.9557076,112.6445344,Jalan Letnan Jenderal Sunandar Priyosudarmo,65122,BANK BNI,Indonesia,Jawa Timur,Kota Malang
"Bank BNI, Jalan Citra Niaga Raya, Rawalumbu, Bojong Rawalumbu, Kota Bekasi, Jawa Barat, 17114, Indonesia",bank,-6.2758833,106.9877662,Jalan Citra Niaga Raya,17114,BANK BNI,Indonesia,Jawa Barat,Kota Bekasi
"Bank BNI, Jalan Kisamaun, Sukasari, Tangerang, Banten, 15111, Indonesia",bank,-6.1796924,106.6303926,Jalan Kisamaun,15111,BANK BNI,Indonesia,Banten,Tangerang
"Bank BNI, Jalan Imam Bonjol, Sukajadi, Karawaci, Tangerang, Banten, 15520, Indonesia",bank,-6.1809383,106.6270664,Jalan Imam Bonjol,15520,BANK BNI,Indonesia,Banten,Tangerang
"Bank BNI, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, 19120, Indonesia",bank,-6.1183742,106.6677098,Zona Antar Keberangkatan Terminal 3,19120,BANK BNI,Indonesia,Banten,Tangerang
"Bank BNI, Jalan Veteran, Kauman, Kota Magelang, Jawa Tengah, 56121, Indonesia",bank,-7.47407895,110.21629948432428,Jalan Veteran,56121,BANK BNI,Indonesia,Jawa Tengah,Kota Magelang
"Bank BNI, Jalan Argopuro, Dawuhan, Situbondo, Jawa Timur, 68311, Indonesia",bank,-7.706838250000001,114.01504735,Jalan Argopuro,68311,BANK BNI,Indonesia,Jawa Timur,Situbondo
"Bank BNI, Jalan Arteri Porong, Kebakalan, Porong, Sidoarjo, Jawa Timur, 61272, Indonesia",bank,-7.5396044,112.6819458,Jalan Arteri Porong,61272,BANK BNI,Indonesia,Jawa Timur,Sidoarjo
"Bank BNI, Jalan Trans Nagawutung, Lewoleba, Lembata, Nusa Tenggara Timur, 86611, Indonesia",bank,-8.3757122,123.4148924,Jalan Trans Nagawutung,86611,BANK BNI,Indonesia,Nusa Tenggara Timur,Lembata
"Bank BNI, Jalan Cempaka Putih Permai, RW 05, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10640, Indonesia",bank,-6.17117125,106.8661539,Jalan Cempaka Putih Permai,10640,BANK BNI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Bank BNI, Jalan Pasar Pagi, RW 02, Roa Malaka, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11110, Indonesia",bank,-6.1381137500000005,106.809169023339,Jalan Pasar Pagi,11110,BANK BNI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
