display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"HSBC, Jalan Sampit V, RW 06, Kramat Pela, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12130, Indonesia",bank,-6.24553255,106.79575718193405,Jalan Sampit V,12130,HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Selatan
"HSBC, Jalan Basuki Rahmat, Kemuning, Palembang, Sumatera Selatan, 30129, Indonesia",bank,-2.9580587,104.7419756,Jalan Basuki Rahmat,30129,HSBC,Indonesia,Sumatera Selatan,Palembang
"HSBC, 8, Jalan Glugur By Pass, Petisah Tengah, Petisah, Medan Petisah, Kota Medan, Sumatera Utara, 20112, Indonesia",bank,3.5908003,98.668648,Jalan Glugur By Pass,20112,HSBC,Indonesia,Sumatera Utara,Kota Medan
"HSBC, Jalan Gajah Mada, RW 05, Pekunden, Semarang Tengah, Semarang, Jawa Tengah, Jawa, 50241, Indonesia",bank,-6.9879523,110.4224816,Jalan Gajah Mada,50241,HSBC,Indonesia,Jawa Tengah,Semarang
"HSBC, Jalan Jenderal Achmad Yani, Sungai Baru, Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, 70233, Indonesia",bank,-3.3216583,114.5970974,Jalan Jenderal Achmad Yani,70233,HSBC,Indonesia,Kalimantan Selatan,Banjarmasin
"HSBC, Jl.S.Parman, Mukakuning, Batam, Kepulauan Riau, 29433, Indonesia",bank,1.0692703,104.0252066,Mukakuning,29433,HSBC,Indonesia,Kepulauan Riau,Batam
"HSBC, Jalan Ikan Bawal, Bumi Waras, Bandar Lampung, Lampung, 34223, Indonesia",bank,-5.4482008,105.2661985,Jalan Ikan Bawal,34223,HSBC,Indonesia,Lampung,Bandar Lampung
"HSBC, Jalan Pahlawan Seribu, Lengkong Gudang, BSD City, Serpong, Tangerang Selatan, Banten, Jawa, 15320, Indonesia",bank,-6.2870098,106.6657069,Jalan Pahlawan Seribu,15320,HSBC,Indonesia,Banten,Tangerang Selatan
"HSBC, Bintaro Utama 3A, Bintaro Jaya, Pondok Karya, Pondok Aren, Tangerang Selatan, Banten, 15225, Indonesia",bank,-6.2696319,106.7390218,Bintaro Utama 3A,15225,HSBC,Indonesia,Banten,Tangerang Selatan
"HSBC, Jalan Raya Margonda, Depok, Beji, Bogor, Jawa Barat, Jawa, 16235, Indonesia",bank,-6.3709118,106.8331357,Jalan Raya Margonda,16235,HSBC,Indonesia,Jawa Barat,Bogor
"HSBC, Jalan P.B. Sudirman, Dauh Puri Klod, Panjer, Denpasar Selatan, Bali, 80210, Indonesia",bank,-8.6745879,115.2181539,Jalan P.B. Sudirman,80210,HSBC,Indonesia,Bali,Denpasar Selatan
"Bank HSBC, Jalan Mangga Dua Raya, RW 12, Mangga Dua Selatan, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 14420, Indonesia",bank,-6.1363439,106.8270609,Jalan Mangga Dua Raya,14420,BANK HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Graha HSBC Surabaya, Jalan Jenderal Basuki Rachmat, RW 01, Tegalsari, Surabaya, Jawa Timur, 68485, Indonesia",bank,-7.2669477,112.74069025409091,Jalan Jenderal Basuki Rachmat,68485,GRAHA HSBC SURABAYA,Indonesia,Jawa Timur,Surabaya
