display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Maybank, Jalan Mambruk, SORONG, Klagete, Sorong, Papua Barat Daya, 98412, Indonesia",bank,-0.8837743,131.2868303,Jalan Mambruk,98412,MAYBANK,Indonesia,Papua Barat Daya,Sorong
"Maybank, Jalan Insinyur Haji Juanda, RW 03, Kebon Kelapa, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10120, Indonesia",bank,-6.1666687499999995,106.8252478,Jalan Insinyur Haji Juanda,10120,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Maybank, Jalan Letnan Jenderal MT Haryono, RW 02, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12780, Indonesia",bank,-6.24391355,106.84422445,Jalan Letnan Jenderal MT Haryono,12780,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Selatan
"Maybank, Jalan Gading Kirana Timur IX, RW 08, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14360, Indonesia",bank,-6.1473951,106.9000559,Jalan Gading Kirana Timur IX,14360,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"Maybank, Jalan Kuta Indah, RW 07, Bukit Gading Villa, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia",bank,-6.15857965,106.90293045,Jalan Kuta Indah,14250,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"Maybank, Jalan Lingkar Kencana, Sukaasih, Bojongloa Kaler, Bandung, Jawa Barat, 40232, Indonesia",bank,-6.9346895,107.58987075,Jalan Lingkar Kencana,40232,MAYBANK,Indonesia,Jawa Barat,Bandung
"Maybank, Jalan Jenderal Ahmad Yani, Kadia, Kendari, Sulawesi Tenggara, 93117, Indonesia",bank,-3.9929936,122.502409,Jalan Jenderal Ahmad Yani,93117,MAYBANK,Indonesia,Sulawesi Tenggara,Kendari
"Maybank, Jalan Bypass Ngurah Rai, Nusa Dua, Benoa, Kuta Selatan, Badung, Bali, 80363, Indonesia",bank,-8.7961467,115.2182151,Jalan Bypass Ngurah Rai,80363,MAYBANK,Indonesia,Bali,Badung
"Maybank, Jalan Cendrawasih, RW 10, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, 60175, Indonesia",bank,-7.2381489000000006,112.73716259715248,Jalan Cendrawasih,60175,MAYBANK,Indonesia,Jawa Timur,Surabaya
"Maybank, Jalan Ploso V, RW 05, Ploso, Tambaksari, Surabaya, Jawa Timur, 60142, Indonesia",bank,-7.250358950000001,112.76395148340708,Jalan Ploso V,60142,MAYBANK,Indonesia,Jawa Timur,Surabaya
