display_name,type,lat,lon,alamat,provinsi,kota,zip,bank
"Bank Mandiri, Jalan Lintas Sumatera, Bandar Jaya, Lampung Tengah, Lampung, 34162, Indonesia",bank,-4.9332349,105.2119519,Jalan Lintas Sumatera,Lampung,Lampung Tengah,34162,BANK MANDIRI
"Bank Mandiri, Jalan Lintas Sumatera, Bandar Jaya, Lampung Tengah, Lampung, 34162, Indonesia",bank,-4.9479866,105.2155331,Jalan Lintas Sumatera,Lampung,Lampung Tengah,34162,BANK MANDIRI
"Bank Mandiri, Jalan Kota Agung - Balimbing, Sukabanjar, Tanggamus, Lampung, Indonesia",bank,-5.3675699,104.7791147,Jalan Kota Agung - Balimbing,Sukabanjar,Jalan Kota Agung - Balimbing,Lampung,BANK MANDIRI
"Bank Mandiri, Hypermart Nagoya Hill, Baloi, Lubuk Baja Kota, Batam, Kepulauan Riau, Sumatera, 29400, Indonesia",bank,1.1443908,104.0123483,Hypermart Nagoya Hill,Kepulauan Riau,Batam,29400,BANK MANDIRI
"Bank Mandiri, Jalan A.H Nasution, Iringmulyo, Metro, Lampung, 34111, Indonesia",bank,-5.11385395,105.31149524218476,Jalan A.H Nasution,Lampung,Metro,34111,BANK MANDIRI
"Bank Mandiri, Gang Dahlia V, Kotabumi, Lampung Utara, Lampung, Indonesia",bank,-4.8221419,104.8794189,Gang Dahlia V,Lampung Utara,Kotabumi,Lampung,BANK MANDIRI
"Bank Mandiri, Jalan Ahmad Yani, Wiyono, Pesawaran, Lampung, 35371, Indonesia",bank,-5.3794397,105.1128323,Jalan Ahmad Yani,Lampung,Pesawaran,35371,BANK MANDIRI
"Bank Mandiri, Jalan Satria, Jati Indah, Lampung Selatan, Lampung, Indonesia",bank,-5.4223551,105.4170938,Jalan Satria,Lampung Selatan,Jati Indah,Lampung,BANK MANDIRI
"Bank Mandiri, Sagulung, Batu Aji, Batam, Kepulauan Riau, 29439, Indonesia",bank,1.0369471,103.97541565270043,Sagulung,Kepulauan Riau,Batam,29439,BANK MANDIRI
"Bank Mandiri, Jalan Kartini, Dumai, Kecamatan Dumai Timur, Kota Dumai, Riau, 28826, Indonesia",bank,1.6708695,101.4476186,Jalan Kartini,Kota Dumai,Kecamatan Dumai Timur,28826,BANK MANDIRI
"Bank Mandiri, Jalan Yos Sudarso, Lubuklinggau Timur I, Lubuklinggau, Sumatera Selatan, 31625, Indonesia",bank,-3.2866991,102.8813704,Jalan Yos Sudarso,Sumatera Selatan,Lubuklinggau,31625,BANK MANDIRI
"Bank Mandiri, Jalan Kemas Abdul Malik, Pagar Alam Utara, Pagar Alam, Sumatera Selatan, Indonesia",bank,-4.0201447,103.2527555,Jalan Kemas Abdul Malik,Pagar Alam,Pagar Alam Utara,Sumatera Selatan,BANK MANDIRI
"Bank Mandiri, Jalan Ahmad Yani, Bengkalis, Kecamatan Bengkalis, Kabupaten Bengkalis, Riau, 28752, Indonesia",bank,1.4733922,102.1126516,Jalan Ahmad Yani,Kabupaten Bengkalis,Kecamatan Bengkalis,28752,BANK MANDIRI
"Bank Mandiri, Jalan Letnan Idham, Muara Enim, Sumatera Selatan, 31471, Indonesia",bank,-3.6556678,103.7743885,Jalan Letnan Idham,Sumatera Selatan,Muara Enim,31471,BANK MANDIRI
"Bank Mandiri, Jalan Sultan Thaha, Kelurahan Wirotho Agung, Tebo, Jambi, 37253, Indonesia",bank,-1.3088661,102.1075256,Jalan Sultan Thaha,Jambi,Tebo,37253,BANK MANDIRI
"Bank Mandiri, Jalan Yos Sudarso, Lubuklinggau Timur I, Lubuklinggau, Sumatera Selatan, 31625, Indonesia",bank,-3.2834871,102.8868196,Jalan Yos Sudarso,Sumatera Selatan,Lubuklinggau,31625,BANK MANDIRI
"Bank Mandiri, Jalan S. Parman, Penurunan, Ratu Samban, Bengkulu, 38228, Indonesia",bank,-3.80042815,102.27077869885395,Jalan S. Parman,Bengkulu,Ratu Samban,38228,BANK MANDIRI
"Bank Mandiri, Chevron Rumbai, Kelurahan Lembah Damai, Kabupaten Kampar, Riau, 28271, Indonesia",bank,0.5798777,101.4413397,Chevron Rumbai,Riau,Kabupaten Kampar,28271,BANK MANDIRI
"Bank Mandiri, Jalan Jenderal Sudirman, Kelurahan Tanah Datar, Kabupaten Kampar, Riau, 28144, Indonesia",bank,0.5205547,101.4470794,Jalan Jenderal Sudirman,Riau,Kabupaten Kampar,28144,BANK MANDIRI
"Bank Mandiri, Jalan Haji Imam Munandar, Pekanbaru, Kabupaten Kampar, Riau, 28282, Indonesia",bank,0.5009441,101.4756916,Jalan Haji Imam Munandar,Riau,Kabupaten Kampar,28282,BANK MANDIRI
"Bank Mandiri, Jalan Jenderal Sudirman, Kelurahan Sukaramai, Kabupaten Kampar, Riau, 28144, Indonesia",bank,0.5270991,101.4472005,Jalan Jenderal Sudirman,Riau,Kabupaten Kampar,28144,BANK MANDIRI
"Bank Mandiri, Jalan Uin Suska Riau, Pekanbaru, Kabupaten Kampar, Riau, 28293, Indonesia",bank,0.4646205,101.356233,Jalan Uin Suska Riau,Riau,Kabupaten Kampar,28293,BANK MANDIRI
"Bank Mandiri, Jalan Hang Tuah, Duri, Kecamatan Mandau, Kabupaten Bengkalis, Riau, 28784, Indonesia",bank,1.2812382,101.1943423,Jalan Hang Tuah,Kabupaten Bengkalis,Kecamatan Mandau,28784,BANK MANDIRI
"Bank Mandiri, Jalan A. Yani, Bangkinang Kota, Kabupaten Kampar, Riau, 28411, Indonesia",bank,0.336492,101.0204283,Jalan A. Yani,Riau,Kabupaten Kampar,28411,BANK MANDIRI
